geo_id,Name,total_population,employed_population
1400000US36005016200,"Census Tract 162, Bronx County, New York",1870,842
1400000US36005016300,"Census Tract 163, Bronx County, New York",0,0
1400000US36005016400,"Census Tract 164, Bronx County, New York",1046,449
1400000US36005016500,"Census Tract 165, Bronx County, New York",965,386
1400000US36005016600,"Census Tract 166, Bronx County, New York",2244,1157
1400000US36005016700,"Census Tract 167, Bronx County, New York",3695,1227
1400000US36005016900,"Census Tract 169, Bronx County, New York",1633,575
1400000US36005017100,"Census Tract 171, Bronx County, New York",0,0
1400000US36005017300,"Census Tract 173, Bronx County, New York",5746,1875
1400000US36005017500,"Census Tract 175, Bronx County, New York",6536,2745
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",4650,1893
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",5423,2107
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",4831,1977
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",4032,1737
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",3351,1351
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",5294,2048
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",4320,1978
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",3824,1680
1400000US36005018400,"Census Tract 184, Bronx County, New York",3793,1845
1400000US36005018500,"Census Tract 185, Bronx County, New York",9001,3203
1400000US36005018900,"Census Tract 189, Bronx County, New York",8210,3325
1400000US36005019300,"Census Tract 193, Bronx County, New York",6350,2054
1400000US36005019400,"Census Tract 194, Bronx County, New York",2375,923
1400000US36005019500,"Census Tract 195, Bronx County, New York",7060,2786
1400000US36005019700,"Census Tract 197, Bronx County, New York",7561,3154
1400000US36005019900,"Census Tract 199, Bronx County, New York",8338,4169
1400000US36005020000,"Census Tract 200, Bronx County, New York",4711,1934
1400000US36005020100,"Census Tract 201, Bronx County, New York",3993,1565
1400000US36005020200,"Census Tract 202, Bronx County, New York",2385,1088
1400000US36005020400,"Census Tract 204, Bronx County, New York",3011,1317
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",6976,2333
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",2160,922
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",2237,964
1400000US36005020900,"Census Tract 209, Bronx County, New York",4287,1755
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",8930,4606
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",7613,3573
1400000US36005021100,"Census Tract 211, Bronx County, New York",5343,2125
1400000US36005021200,"Census Tract 212, Bronx County, New York",4850,2633
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",1267,549
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",5513,2070
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",4565,1718
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",6532,2231
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",4720,1838
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",5632,3169
1400000US36005021700,"Census Tract 217, Bronx County, New York",5124,2289
1400000US36005021800,"Census Tract 218, Bronx County, New York",6520,3383
1400000US36005021900,"Census Tract 219, Bronx County, New York",882,483
1400000US36005022000,"Census Tract 220, Bronx County, New York",2007,725
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",4133,1547
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",5411,2187
1400000US36005022200,"Census Tract 222, Bronx County, New York",3293,1594
1400000US36005022300,"Census Tract 223, Bronx County, New York",5278,2228
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",2498,1259
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",3194,1497
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",4203,2297
1400000US36005022500,"Census Tract 225, Bronx County, New York",8499,3511
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",5151,2138
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",1607,662
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",1688,783
1400000US36005022800,"Census Tract 228, Bronx County, New York",6128,3168
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",5743,2214
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",3614,1391
1400000US36005023000,"Census Tract 230, Bronx County, New York",2802,1240
1400000US36005023100,"Census Tract 231, Bronx County, New York",1537,524
1400000US36005023200,"Census Tract 232, Bronx County, New York",2476,1070
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",3956,1728
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",3706,1520
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",3184,1399
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",4153,1813
1400000US36005023600,"Census Tract 236, Bronx County, New York",1816,765
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",1180,461
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",5574,2250
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",3803,1218
1400000US36005023800,"Census Tract 238, Bronx County, New York",2241,1086
1400000US36005023900,"Census Tract 239, Bronx County, New York",7873,3175
1400000US36005024000,"Census Tract 240, Bronx County, New York",3903,1805
1400000US36005024100,"Census Tract 241, Bronx County, New York",6621,2969
1400000US36005024300,"Census Tract 243, Bronx County, New York",5737,2122
1400000US36005024400,"Census Tract 244, Bronx County, New York",2146,1082
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",4871,1770
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",3677,1547
1400000US36005024600,"Census Tract 246, Bronx County, New York",2011,977
1400000US36005024700,"Census Tract 247, Bronx County, New York",2058,903
1400000US36005024800,"Census Tract 248, Bronx County, New York",3078,1540
