from,to,Type,type.y
Navigation Road,STOCKPORT,railway,railway
St Peter's Square,Market Street,metrolink,railway
Rochdale Railway Station,CASTLETON,railway,railway
GATHURST,WIGAN WALLGATE,railway,railway
WIGAN WALLGATE,INCE,railway,railway
INCE,HINDLEY,railway,railway
HINDLEY,DAISY HILL,railway,railway
DAISY HILL,HAG FOLD,railway,railway
HAG FOLD,ATHERTON,railway,railway
ATHERTON,WALKDEN,railway,railway
WALKDEN,MOORSIDE,railway,railway
MOORSIDE,SWINTON,railway,railway
SWINTON,SALFORD CRESCENT,railway,railway
SALFORD CRESCENT,SALFORD CENTRAL,railway,railway
HINDLEY,WESTHOUGHTON,railway,railway
WESTHOUGHTON,BOLTON INTERCHANGE,railway,railway
ORRELL,PEMBERTON,railway,railway
PEMBERTON,WIGAN WALLGATE,railway,railway
WIGAN NORTH WESTERN,INCE,railway,railway
WIGAN NORTH WESTERN,BRYN,railway,railway
WIGAN NORTH WESTERN,PATRICROFT,railway,railway
BLACKROD,HORWICH PARKWAY,railway,railway
HORWICH PARKWAY,LOSTOCK,railway,railway
LOSTOCK,BOLTON INTERCHANGE,railway,railway
BOLTON INTERCHANGE,MOSES GATE,railway,railway
MOSES GATE,FARNWORTH,railway,railway
FARNWORTH,KEARSLEY,railway,railway
KEARSLEY,CLIFTON,railway,railway
CLIFTON,SALFORD CRESCENT,railway,railway
BROMLEY CROSS,HALL I'TH' WOOD,railway,railway
HALL I'TH' WOOD,BOLTON INTERCHANGE,railway,railway
LITTLEBOROUGH,SMITHY BRIDGE,railway,railway
CASTLETON,MILLS HILL,railway,railway
MILLS HILL,MOSTON,railway,railway
GREENFIELD,MOSSLEY,railway,railway
MOSSLEY,STALYBRIDGE,railway,railway
STALYBRIDGE,GUIDE BRIDGE,railway,railway
GUIDE BRIDGE,FAIRFIELD,railway,railway
FAIRFIELD,GORTON,railway,railway
GORTON,ASHBURYS,railway,railway
ASHBURYS,ARDWICK,railway,railway
GUIDE BRIDGE,REDDISH SOUTH,railway,railway
REDDISH SOUTH,STOCKPORT,railway,railway
BROADBOTTOM,HATTERSLEY,railway,railway
HATTERSLEY,GODLEY,railway,railway
GODLEY,NEWTON FOR HYDE,railway,railway
NEWTON FOR HYDE,FLOWERY FIELD,railway,railway
FLOWERY FIELD,GUIDE BRIDGE,railway,railway
ROSE HILL,ROMILEY,railway,railway
MARPLE,ROMILEY,railway,railway
ROMILEY,WOODLEY,railway,railway
WOODLEY,HYDE CENTRAL,railway,railway
HYDE CENTRAL,HYDE NORTH,railway,railway
HYDE NORTH,GUIDE BRIDGE,railway,railway
ROMILEY,BREDBURY,railway,railway
BREDBURY,BRINNINGTON,railway,railway
BRINNINGTON,REDDISH NORTH,railway,railway
REDDISH NORTH,RYDER BROW,railway,railway
RYDER BROW,BELLE VUE,railway,railway
BELLE VUE,ASHBURYS,railway,railway
MIDDLEWOOD,HAZEL GROVE,railway,railway
HAZEL GROVE,WOODSMOOR,railway,railway
WOODSMOOR,DAVENPORT,railway,railway
DAVENPORT,STOCKPORT,railway,railway
STOCKPORT,HEATON CHAPEL,railway,railway
HEATON CHAPEL,LEVENSHULME,railway,railway
HEALD GREEN,GATLEY,railway,railway
BURNAGE,MAULDETH ROAD,railway,railway
IRLAM,FLIXTON,railway,railway
FLIXTON,CHASSEN ROAD,railway,railway
CHASSEN ROAD,URMSTON,railway,railway
URMSTON,HUMPHREY PARK,railway,railway
HUMPHREY PARK,TRAFFORD PARK,railway,railway
BRAMHALL,CHEADLE HULME,railway,railway
CHEADLE HULME,STOCKPORT,railway,railway
