NPTREF,dc,cc,bc,greenspace
9400ZZMABOW,-0.667642295,0.301383713,0.433988991,0.528795765
9400ZZMABUR,-0.137022369,-1.083576401,-1.980306404,0.635483373
9400ZZMABWY,0.240994484,0.449117196,-0.727779515,0.529825452
9400ZZMACEM,-0.137022369,-0.191416249,0.01090765,0.611529183
9400ZZMACHO,-1.466108846,1.135133437,1.324160122,-1.125617613
9400ZZMACLN,-0.137022369,0.301383713,0.289048836,-0.141934392
9400ZZMACRN,0.918812603,1.9449282,2.252579327,-0.964502343
9400ZZMACRU,-0.667642295,0.545585839,0.569549958,-0.438940998
9400ZZMACSS,-0.667642295,-1.238509812,0.11389378,-1.736885681
9400ZZMACTP,-0.137022369,0.893435359,1.275225813,0.221289815
9400ZZMADER,0.240994484,-0.931819208,0.275643136,0.840117939
9400ZZMADID,-0.667642295,0.497551326,-0.008444665,-0.083696616
9400ZZMADNE,-1.466108846,0.68732452,0.333884837,0.882060669
9400ZZMADRO,-0.137022369,-0.382976975,-0.148321457,-0.12763276
9400ZZMAECC,1.703515126,1.324856682,0.672141278,0.440257143
9400ZZMAECS,-0.667642295,1.026634954,0.526982475,1.500855173
9400ZZMAEDY,0.523869923,0.640469179,0.325406503,0.446582653
9400ZZMAELN,-0.137022369,0.098606169,0.148480439,0.686917096
9400ZZMAEVC,0.240994484,-0.191416249,-0.794547058,-0.691772154
9400ZZMAEXC,-0.667642295,1.177907511,0.072549271,0.791199201
9400ZZMAEXS,0.240994484,1.6837288,0.260176634,-1.307560453
9400ZZMAFIR,-0.667642295,1.241407833,1.379711191,-0.582288816
9400ZZMAFRE,-0.137022369,-0.191416249,0.866145095,-0.301669013
9400ZZMAFWH,-0.667642295,0.351036757,1.124805913,-0.548205575
9400ZZMAGMX,2.023478355,2.225470791,3.16057642,-1.021129483
9400ZZMAHCY,-0.137022369,0.569454271,-0.532572407,-1.638849154
9400ZZMAHEA,-1.466108846,0.0727832,0.281525583,1.191499543
9400ZZMAHOL,-0.667642295,0.175436329,1.043600777,-0.719650041
9400ZZMAHTN,-1.466108846,1.15656477,0.632395208,-0.019976823
9400ZZMAIWM,-0.137022369,0.893435359,0.019808691,-3.958733177
9400ZZMAKNY,-0.667642295,-1.590873341,-0.147104699,0.179389167
9400ZZMALDY,-0.667642295,1.177907511,-0.162108769,0.04439968
9400ZZMALWY,-0.137022369,0.521618328,-0.583535635,0.341979641
9400ZZMAMCU,-0.667642295,0.375709438,-1.980306404,0.6384232
9400ZZMAMFT,0.240994484,-0.90184316,0.442912007,-0.321855305
9400ZZMAMIL,-0.667642295,-1.49317629,-0.051241782,-0.534149393
9400ZZMAMKT,-0.137022369,1.606275702,-1.08091694,-1.44537052
9400ZZMAMON,0.523869923,1.135133437,1.345269164,0.48096365
9400ZZMAMRD,-0.137022369,-0.43873668,0.814288857,0.31368301
9400ZZMANAV,1.703515165,-0.005330656,-0.120390409,-0.013973548
9400ZZMANBD,0.240994484,-1.689792182,-0.204611159,-1.817168623
9400ZZMANEW,-0.137022369,0.569454271,1.201863646,-0.269732686
9400ZZMANHY,-0.137022369,-1.364788055,0.034833226,0.403952488
9400ZZMANIS,-0.137022369,1.427242008,0.729440254,-2.952159591
9400ZZMANMR,0.240994484,-0.057948493,1.014283673,-0.252786721
9400ZZMAOKS,-1.466108846,-0.580173968,0.661869622,-0.247263718
9400ZZMAOLD,-0.137022369,1.304123918,0.553908703,-0.000977297
9400ZZMAOMC,-1.466108846,-0.666453287,0.546022519,0.621525376
9400ZZMAOMP,-0.667642295,-0.812656517,0.418229856,-0.402547399
9400ZZMAPAR,0.240994484,0.251317585,-0.433227774,1.949049177
9400ZZMAPGD,0.240994484,1.702892385,0.368235533,-2.496080485
9400ZZMAPIC,1.833334159,1.871838944,2.51017125,-1.938614906
9400ZZMAPLL,-0.667642295,-1.689792182,-0.736613755,-0.386309304
9400ZZMAPOM,0.523869923,1.487663032,0.909345691,0.390583808
9400ZZMAPWC,-1.466108846,-0.031585082,0.106176361,0.513521217
9400ZZMAQRD,0.523869923,1.199162025,0.803937046,0.777219962
9400ZZMARAD,0.743452467,-0.695452167,-0.741368819,0.073088845
9400ZZMARIN,-1.466108846,-1.689792182,-1.980306404,0.069789009
9400ZZMARND,-1.466108846,-0.753811574,0.578986789,0.113794236
9400ZZMARRS,1.565691041,-1.525607155,0.448459098,-0.190078481
9400ZZMARWD,-0.667642295,-1.558172652,-0.359511851,-0.506276675
9400ZZMASCH,-0.667642295,-0.005330656,0.957698976,0.038476037
9400ZZMASDW,-2.802253091,-1.789948096,-1.980306404,-2.610926246
9400ZZMASFD,-0.137022369,0.915865827,0.447905412,0.670753831
9400ZZMASHA,0.523869923,-1.207265861,0.112931861,-0.804916995
9400ZZMASHU,-0.667642295,1.547337857,-1.161233855,-1.318493168
9400ZZMASLE,-1.466108846,0.569454271,0.213259615,-0.538724574
9400ZZMASQY,-0.667642295,0.915865827,-0.106843309,-0.238772464
9400ZZMASTP,1.282007136,1.908534946,0.567180903,-1.53912694
9400ZZMASTW,0.240994484,0.915865827,1.454414251,0.436695244
9400ZZMASWP,0.523869923,0.326261657,1.104329251,2.974600615
9400ZZMATIM,-0.667642295,0.149932293,-0.062136127,-0.277201121
9400ZZMATRA,0.743452467,1.606275702,1.863763778,1.010972945
9400ZZMATRC,-2.802253091,-0.382976975,-1.980306404,2.702459968
9400ZZMAVIC,2.294851414,1.797528597,2.520060458,-1.714062172
9400ZZMAVLG,-0.137022369,0.497551326,-0.180467854,1.949049177
9400ZZMAVPK,0.240994484,0.640469179,0.414071657,1.317722709
9400ZZMAWFD,-0.137022369,-0.41079908,-0.365560912,0.283543927
9400ZZMAWFS,-0.667642295,1.177907511,0.187986438,-0.463943192
9400ZZMAWIT,-0.667642295,0.68732452,0.114854916,1.325595131
9400ZZMAWPK,-0.667642295,-0.245582239,0.917953761,-0.204647984
9400ZZMAWST,0.240994484,0.779878631,-0.377009948,0.185469453
9400ZZMAWTD,-1.466108846,0.545585839,-0.023520758,-0.820195584
9400ZZMAWWD,-0.137022369,-0.43873668,0.768031711,-1.121825893
9400ZZMAWYT,-0.137022369,-1.428716233,-0.09549111,-0.191164744
