NPTREF,near_station,freq,line,bus_route,bike_capacity,car_park,near_highway,sum_pop,sum_lab,entropy,poi_count,access_lane,intersection,pedstrain,dc,cc,bc,greenspace
9400ZZMAABM,0.9630719003591538,-0.20807014683232342,-0.004381826512484028,0.39316907907052584,-1.16389195084171,0.10354992550822768,0.6617451061038598,1.7477610072364502,0.6839271022440058,0.08203824281751758,-0.04914655735247061,0.14187733279205914,-0.45630070319001154,0.1866586098209058,-0.13702236918421307,0.779878630836755,0.6920059393824971,-0.3374771414993667
9400ZZMAALT,-0.7271755887418744,1.722076691749406,-0.004381826512484028,-0.17782975909237428,0.8320142447239519,1.2438894148287536,1.671543387704607,0.24064666106970126,0.5127240920412091,-0.3190509288094268,1.2419033570116715,-1.1752238392014644,0.6962379147282979,0.6268904527664079,0.24099448414346153,-0.32767734463624437,-0.783087362549189,0.44106000116321015
9400ZZMAANC,0.9630719003591538,-1.63154368671706,-0.004381826512484028,0.44990553451742044,0.29247337051705696,-0.8090668620104065,-1.42163755301064,0.6860097882137789,1.1147789891098654,-0.11174954717019138,1.5096153550126583,-0.10680892908698558,2.067495950208893,-0.34319463328343947,-1.46610884595059,0.6873245203650118,-0.30354570473725145,-0.6489197827712401
9100ARDWICK,1.1714998804121892,-2.5647324170514145,-0.004381826512484028,-0.17782975909237428,-1.16389195084171,-0.8090668620104065,1.1253869853359335,-1.2660213239930946,-1.4919926449257583,0.48487576020800954,-0.011892264720582201,0.10222613662773138,-0.45630070319001154,-1.706443596842734,0.24099448414346153,1.4676060601108925,1.4672632476203589,0.28076197799428737
9100ASHBRYS,1.2140452174629959,1.3608457226807633,1.1676705726346626,-0.04008890910524129,-1.16389195084171,-0.8090668620104065,1.7594050934452643,-0.6310522324771184,-0.976023594479147,-1.6053757564463798,-0.38721927702890574,-0.41416654769913247,0.6162949318463988,0.241524195648716,0.9188126025309645,1.1136131435222374,1.4381040709132524,-0.33792375950965314
9400ZZMAAMO,0.683309000712307,-0.9180416835998777,-0.004381826512484028,-1.4499877509647587,0.6244168873272533,1.5950034651050646,-1.306460321983338,-1.362092166826379,-1.1941865589619245,-0.011797210093138354,-1.3635076872251168,1.0420676528381474,0.26768592856571183,-0.6981069189875071,-0.13702236918421307,-0.7831731017661756,-0.5180481256554574,1.5743539056552636
9400ZZMAAWT,0.2363848054239241,-0.9180416835998777,-0.004381826512484028,-0.399244647229512,0.6798917851329378,1.5099236808831906,-1.3848786536001774,-0.49718470232722994,-0.7882654197264544,-0.015328323173268148,-0.6001496476887948,0.564828892507992,0.5948124922080744,-0.3311216792562646,0.24099448414346153,-0.9018431599124748,-0.6573914074065168,0.9228788622664408
9400ZZMAAUL,0.06234554182338959,0.34593772934816125,1.1676705726346626,0.8678841137352403,1.1527694099594619,1.1826431306981866,-0.1796315860102392,-0.07683772131995822,-0.11490881996932467,-0.006401665633346152,0.5544808861212136,0.4319512161138826,0.9991889784798417,2.3713551100794366,2.071336246716877,-0.8719910368389878,-0.086839772182836,-0.2057255391551516
9100ATHERTN,-1.5167632007918235,0.8567740403597229,-0.004381826512484028,-0.4775799552409926,-0.06236569484174149,1.3393339369621544,0.3546731455367294,0.1654762693327062,0.1752849857280501,0.03581682166762239,-0.8956631133729159,-0.6145694962191329,-1.3082654746671107,-0.48523475173195835,0.5238699226534054,-0.1376971803763251,0.5833469578923596,-1.4179631519360494
9400ZZMAAUD,0.8414540564273989,-0.9180416835998777,-0.004381826512484028,-0.8187963887968881,0.6798917851329378,-0.8090668620104065,-1.3952994864461017,-0.2839691447972592,-0.13125312264931235,0.007333561064143737,-0.4516840195667654,0.1374877437189436,0.33387200772821984,0.7519097459394326,-0.13702236918421307,-0.6375742899446666,-0.33937973094718127,0.48035726107738846
9400ZZMABAG,-0.03863924946654831,-0.9180416835998777,-0.004381826512484028,0.5055380297473534,0.7716608806824711,-0.8090668620104065,0.001457486930960772,-0.4894569428446887,-0.5711670047976496,0.29709326806653175,-1.5996715401915051,0.017296052865519104,0.7148880062023342,-0.8631953358458818,-0.667642295201235,-0.666453286698199,0.701916232998665,0.27595811011150756
9400ZZMABAR,0.7618083777142834,-0.9180416835998777,-0.004381826512484028,0.2761622582904315,-1.16389195084171,-0.8090668620104065,-0.12199839148478402,0.7142825000489865,0.8133753708313085,0.11787815262789654,0.3841574519774348,1.69984997547601,0.6962379147282979,0.32503444687694005,-0.13702236918421307,0.6639453735289372,1.188914840196366,0.724010140588762
9400ZZMAEVC,0.2720523558715877,-0.9180416835998777,-0.004381826512484028,-0.3232825151439334,-1.16389195084171,-0.8090668620104065,-1.6075838219881937,-2.5363291916475497,-2.464581969751074,0.207696733528547,0.4581308020439037,1.276664250423822,1.4695537116797899,-0.34835753069486836,0.24099448414346153,-0.19141624939504906,-0.79454705811023,-0.691772154050416
9100BLLVUE,1.0872689490052598,0.1955545635545813,-0.004381826512484028,0.7687895347234337,-1.16389195084171,-0.8090668620104065,1.302240609015445,0.648379736577746,0.13714985017826234,0.0031272958126006725,-0.38721927702890574,-1.3628718044592092,0.5016838090700771,1.503995582367511,-0.13702236918421307,0.710607020715365,0.3650962428931239,0.23333789698082336
9400ZZMABLL,-0.0052642146915315565,-0.9180416835998777,-0.004381826512484028,0.2761622582904315,0.7716608806824711,-0.8090668620104065,-1.0064283100281648,1.7929023578403653,1.3852389517425983,-0.46068260970557057,-1.0246347574000603,0.1953840805732559,0.3015576389385521,0.4530626697388583,-0.13702236918421307,-1.1761510771645578,0.2898820091227472,-0.732434426721454
9400ZZMABOB,0.20100382176301945,-0.20807014683232342,-0.004381826512484028,-0.2495271077334797,0.23507094489284447,0.7514161760155881,-2.0471972518907835,0.6202077679287423,0.7295068670464169,0.1523137572648872,-0.011892264720582201,-1.3062355361648217,0.23209806685410284,0.6375519838087412,-0.667642295201235,-0.21844314750286098,-0.1024627962311681,-0.10430037964517509
9100BLRD,-1.8900804371671327,0.1955545635545813,-2.230954684808041,-1.8545000517188532,-1.16389195084171,1.3449252638163878,0.24336029588012323,-0.5484218056262997,-0.34809320723487025,-0.00025783461081631823,-1.5996715401915051,-1.998845268575898,-1.7741209205724526,-1.4279032426770595,-0.667642295201235,-1.5256071546763998,-1.9803064043166851,-1.3684162053162057
9100BOLTON,-1.5933800616569118,1.7478554027077586,1.8978504667569414,1.6796095121111345,0.907659691629932,1.1423936062901656,0.9676527095810756,-1.3063030882638518,-1.2994853177397008,-5.154930063072893,1.3457063570967582,0.787355199957642,1.3132374321865197,0.9179932098805854,2.0603492610226724,-0.666453286698199,0.26379542324788174,-0.1882865378579451
9400ZZMABOW,0.7224154017926536,-0.20807014683232342,-0.004381826512484028,-1.11190394886421,-1.16389195084171,-0.8090668620104065,-0.10196693057523191,0.4596250671901495,0.3216754241506244,0.06454835091168722,-0.38721927702890574,-0.7572450443879187,-1.7741209205724526,-0.050545013896378194,-0.667642295201235,0.3013837132995772,0.4339889908817323,0.5287957654642399
9100BMHL,-0.6459630203504532,0.1955545635545813,-2.230954684808041,-0.3232825151439334,-0.20372210511137906,-0.8090668620104065,1.5517801183724254,0.21739155724739484,0.10270165753385356,0.4873312643546276,-0.4516840195667654,-1.998845268575898,-1.3082654746671107,-0.17080282303443506,-0.13702236918421307,-0.7245714299418737,-1.9803064043166851,0.19495559030968496
9100BREDBRY,0.2363848054239241,0.8567740403597229,-0.004381826512484028,-1.11190394886421,-0.20372210511137906,1.4060942011855575,-0.3271084562078973,0.54889041017075,0.5341973834682566,-0.19324131163124872,-0.13034654830736364,-1.1425775256552584,-0.030509484872977045,-1.1915564960634468,0.24099448414346153,-0.4387366800448344,-0.29893818022992086,-0.24484317455000804
9100BRNGTN,0.5677092405784312,0.8567740403597229,-0.004381826512484028,-0.912375532990537,-1.16389195084171,-0.8090668620104065,-1.1283894274847173,-0.050860309745893055,-0.5404138577339233,-0.008988781779661208,-0.4516840195667654,-0.09815391366769338,-1.3082654746671107,-0.49352609666683483,0.5238699226534054,-0.16450108102483513,-0.10129768840153705,1.1287209696265614
9100BRBM,-1.3229936425568463,0.8567740403597229,-2.230954684808041,-1.3312475256554488,-1.16389195084171,1.4060942011855575,-0.2762402359249574,-1.2674119317018975,-1.1328589406416865,-0.013296500144249027,-0.38721927702890574,-0.8016429584540055,-1.0339367337027616,-1.4790155613184708,-1.46610884595059,-0.7245714299418737,-1.9803064043166851,0.3316771598094206
9400ZZMABWY,0.8014879290647591,-0.9180416835998777,1.1676705726346626,0.6662989493186973,1.6631843597942908,-0.8090668620104065,-0.8245994295535924,-0.6818868772735089,-0.10364315600287234,-0.23347026021678163,1.427999587090613,0.7046101671420388,1.4822090192482975,0.22578268414145083,0.24099448414346153,0.44911719601272215,-0.7277795149973334,0.5298254523973007
9100BRMCRSS,-1.861444756757478,0.1955545635545813,-2.230954684808041,-0.6421438211422316,-0.4087405394222391,1.342156361812318,2.0566191939336234,-1.3286976299321758,-1.2963199480412457,0.04068023127555951,-1.0246347574000603,-0.9409251711993245,-1.3082654746671107,-0.22257780954465886,-1.46610884595059,-1.2698834677084696,-1.9803064043166851,-0.07933040483352134
9400ZZMABKS,-0.07172772284256185,-0.20807014683232342,-0.004381826512484028,-0.5584757248242239,0.09024488163313542,1.4193991390779541,0.17845177742868598,0.40434897743127307,0.6924794673000323,1.2544430035287764,0.8036467445499195,0.3084320263862496,0.36476673489314704,0.6804162665471427,-0.667642295201235,0.35103675673978335,0.0780150465385814,0.3531372502079436
9100BRYN,-1.9291654507738456,0.1955545635545813,-2.230954684808041,0.3352742510037168,-1.16389195084171,-0.8090668620104065,-0.7512149636174678,0.3072173921934431,0.21073692404283986,0.33353233603973387,0.08890902671811572,-0.8024652642537679,-1.7741209205724526,-0.6713854618893992,0.24099448414346153,-1.4608795006022768,-1.9803064043166851,-0.06340174166314025
9100BAGE,0.8014879290647591,0.8567740403597229,-0.004381826512484028,-0.17782975909237428,0.6798917851329378,-0.8090668620104065,0.055860743567684897,1.281962690405758,1.077124960054294,-0.2942519185881955,0.3222038053571636,-1.2795227566768734,0.5948124922080744,0.43456800569902393,-0.13702236918421307,0.870911782463084,0.3342871839174905,0.0705582672039122
