NPTREF,node,place,design,npd,cc,bc,greenspace
9100ARDWICK,0.408174776,-1.290132361,-0.609224399,-0.497060661,1.46760606,1.467263248,0.280761978
9100ASHBRYS,0.093245816,-0.905981035,0.177056949,-0.211892757,1.113613144,1.438104071,-0.33792376
9100ATHERTN,-1.162204493,-0.00912851,-1.129263615,-0.766865539,-0.13769718,0.583346958,-1.417963152
9100BAGE,0.449982614,1.166825292,-0.227481851,0.463108685,0.870911782,0.334287184,0.070558267
9100BLLVUE,0.254694119,0.295714886,-0.05766255,0.164248818,0.710607021,0.365096243,0.233337897
9100BLRD,-2.452876114,-0.731678145,-2.312981343,-1.832511867,-1.525607155,-1.980306404,-1.368416205
9100BMHL,-0.994281899,0.085043982,-1.756683537,-0.888640485,-0.72457143,-1.980306404,0.19495559
9100BOLTON,0.044237208,-1.195242065,1.325822304,0.058272482,-0.666453287,0.263795423,-0.188286538
9100BRBM,-2.129055772,-1.212223466,-1.32153528,-1.554271506,-0.72457143,-1.980306404,0.33167716
9100BREDBRY,-0.725324961,0.480088876,-0.889507087,-0.378247724,-0.43873668,-0.29893818,-0.244843175
9100BRMCRSS,-2.129492747,-1.439503951,-1.231014132,-1.60000361,-1.269883468,-1.980306404,-0.079330405
9100BRNGTN,-0.179041504,-0.369750544,-0.868503246,-0.472431765,-0.164501081,-0.101297688,1.12872097
9100BRYN,-1.130065077,0.276342374,-1.518905408,-0.790876037,-1.460879501,-1.980306404,-0.063401742
9100CHASNRD,-0.452430888,1.020006408,-1.11447688,-0.182300453,0.0727832,-0.446394097,0.92744431
9100CHDH,-0.829669042,0.771998152,-0.94482068,-0.334163857,-0.245582239,-0.807501073,-0.335646648
9100CLTN,-0.385137895,-0.933217057,-1.443799514,-0.920718155,1.135133437,0.657740717,0.664343726
9100CSTL,-1.098245996,-0.103287353,-1.166334468,-0.789289272,-1.364788055,0.528724142,-0.016807476
9100DAISYH,-1.739627353,-0.277356567,-1.205111944,-1.074031955,-0.551651657,0.373125693,0.114141295
9100DAVNPRT,-0.400059603,0.398462512,0.038617927,0.012340279,-0.245582239,-0.199480667,0.117118348
9100FLIXTON,-0.605707793,-0.614398006,-1.226839523,-0.815648441,-0.164501081,-0.80489117,1.470943459
9100FLWRYFD,-0.240915752,0.46274012,-1.50852477,-0.428900134,0.149932293,0.000875507,0.202542533
9100FRFD,0.015603849,-0.918678558,-0.802883424,-0.568652711,0.663945374,0.7291372,1.203425611
9100FRNW,-0.356181969,-0.259560367,-0.918820505,-0.511520947,-0.005330656,0.444763567,0.867858287
9100GATHRST,-2.243465607,-2.631737303,-1.832513447,-2.235905452,-1.49317629,-1.980306404,2.804789194
9100GATLEY,-0.355189141,0.282129142,-0.032695782,-0.035251927,0.375709438,-0.795831831,0.377419735
9100GFLD,-2.156790143,-1.064651716,-0.489129524,-1.236857128,-1.723039274,-1.980306404,0.599582078
9100GIDB,-0.198186953,-0.6014467,0.040326166,-0.253102496,0.497551326,0.817581096,-0.101034417
9100GODLY,-0.683171523,-0.729374743,-0.636325921,-0.682957396,-0.272833991,-0.448053637,-0.58926264
9100GORTON,0.224706972,1.534817157,-0.681267494,0.359418878,0.756883679,0.801916086,-1.02165762
9100HAGFOLD,-0.76761208,0.123057093,-2.179058475,-0.941204487,-0.327677345,0.482714577,-0.740095198
9100HALE,-1.885673471,0.47053393,-1.125171517,-0.846770353,-0.608814681,-1.980306404,-0.339843581
9100HATRSLY,-1.117449028,-1.637568149,-1.895360625,-1.550125934,-0.466790255,-0.806194911,0.531267695
9100HAZL,-0.670276268,0.074399124,0.020304989,-0.191857385,-0.608814681,-0.807501073,0.654735573
9100HINDLEY,-1.736517488,-0.666543888,-1.938638359,-1.447233245,-0.812656517,0.316668188,0.906196337
9100HITW,-1.024837584,-0.587273473,-0.02220004,-0.544770366,-1.052972969,-0.803589839,0.429981515
9100HLDG,-1.552877137,-0.493238841,-0.203106341,-0.749740773,0.020815234,-1.980306404,0.213534628
9100HMPHRYP,-0.108660296,1.107559063,-0.505199822,0.164566315,0.663945374,0.002994991,-0.221306301
9100HORWICH,-1.771578723,-2.500349688,0.264440816,-1.335829198,-1.269883468,-0.803589839,2.843437058
9100HTCP,0.26477131,1.164108448,0.055829624,0.494903127,0.640469179,0.467879093,-0.887078068
9100HYDEC,-0.235859843,-0.735005497,0.303458651,-0.222468896,-0.245582239,-0.610251661,0.158213839
9100HYDEN,-0.608284962,0.507153439,-1.141337184,-0.414156236,0.046853037,-0.331299363,-0.372621821
9100INCE,-0.831097929,-0.71426571,-0.372698269,-0.639353969,-1.022496055,0.325609016,0.054728285
9100IRLAM,-2.010549777,-1.192315455,-0.432224462,-1.211696565,-0.551651657,-1.980306404,0.744279542
9100KEARSLY,-0.640479142,-0.167599304,-0.880285916,-0.562788121,0.175436329,0.551855696,-0.327338049
9100LITLBRO,-2.236289167,-0.791669032,-0.986546379,-1.338168193,-1.959665788,-1.980306404,0.561346198
9100LOSTCKP,-1.379978799,-0.962363394,-1.027673676,-1.123338623,-1.052972969,-0.444737645,0.851890791
9100LVHM,-0.131354061,2.155384624,0.622961358,0.88233064,1.004664287,0.569549958,-0.775814931
9100MARPLE,-2.170134984,-1.110951278,-0.699498187,-1.326861483,-0.961919695,-1.980306404,1.398658844
9100MDWD,-2.603170456,-2.52059356,-1.590804373,-2.238189463,-0.931819208,-1.980306404,2.65488024
9100MLDTHRD,-0.073165836,0.821183116,-0.02454682,0.24115682,1.09200352,0.429692343,-0.171612385
9100MLSHILL,-0.854404902,0.034423468,-0.307209795,-0.37573041,-1.083576401,0.639819953,-0.442320584
9100MNCROXR,1.604531908,2.330151318,1.90440084,1.946361355,1.998955886,2.222568955,-2.149518653
9100MOSSLEY,-1.033874579,-0.024074986,-0.524686658,-0.527545408,-1.49317629,-0.810120706,0.013889506
9100MRSD,-0.739391557,0.003721683,-1.153475103,-0.629714992,0.802778525,0.773044816,0.222537803
9100MSGT,-0.612303395,-0.373341056,-0.099959707,-0.361868053,-0.191416249,0.330056289,0.723152105
9100MSTN,0.166032819,0.586984058,-1.339252714,-0.195411946,-0.842262326,0.744215524,-0.943377871
9100NWTH,-0.671468108,-0.047133918,-1.633362862,-0.783988296,-0.084421344,-0.197563383,0.592882808
9100ORRELL,-2.05952704,-0.368058819,-1.431369993,-1.286318617,-1.656682541,-1.980306404,0.654745635
9100PBRT,-1.041283082,0.446438429,-1.000936515,-0.531927056,-1.49317629,-0.636324418,-0.276563351
9100PTRCRFT,0.335241906,0.393288546,-0.345194081,0.12777879,1.048514799,0.037917125,-1.893127465
9100REDISHN,-0.134630586,0.721402611,-0.874602036,-0.095943337,0.251317585,0.075782158,-0.417493254
9100REDISHS,0.316491748,0.283796935,-0.655614757,-0.018442025,-0.218443148,-0.701886856,0.868204434
9100ROHL,-1.291293402,-0.04947288,-0.966629429,-0.769131904,-0.871991037,-1.980306404,-0.176286104
9100ROMILEY,-0.063625855,-0.054611434,-0.41347202,-0.177236436,-0.63757429,-0.405081307,0.18485074
9100RYDRBRW,0.235665815,0.379001051,0.232012246,0.282226371,0.47338442,0.229314773,0.395336854
9100SBYD,-0.541894518,-0.236361045,-0.632209247,-0.470154937,-1.238509812,-0.362909623,0.609306477
9100SLFDCT,0.245763301,-0.401468738,1.155023268,0.333105944,1.908534946,1.670819797,0.800743084
9100SLFDORD,0.850950424,0.990971935,1.874345566,1.238755975,1.721976753,0.314627489,-1.151835091
9100SMBG,-1.713070339,-0.311087565,-0.83165927,-0.951939058,-1.857413602,-0.740177178,-0.705171567
9100STKP,1.027298639,0.187193027,1.224687323,0.813059663,0.301383713,0.564298853,0.072953701
9100SWNT,-0.061116163,0.435509258,-0.89821679,-0.174607898,1.048514799,0.860313095,-0.732445386
9100TRFDPK,-0.145327877,0.131652257,0.318140378,0.101488253,0.938203572,0.169772026,-0.281388686
9100URMSTON,-0.049151422,0.441450721,-0.626186334,-0.077962345,0.301383713,-0.1956497,0.291373342
9100WALKDEN,-0.297046618,0.603857055,0.419688659,0.242166365,0.351036757,0.679837335,0.226157422
9100WIGANNW,-0.767935865,-0.826555153,0.479987441,-0.371501192,-1.052972969,-0.097519832,-0.066566372
9100WIGANWL,-0.467552713,-1.096993017,1.076712382,-0.162611116,-1.238509812,0.053466253,0.616507508
9100WMOR,-1.24642223,0.183245225,-1.241924536,-0.76836718,-0.43873668,-0.449716281,-0.254369306
9100WOODLEY,-1.004752826,-0.241094458,-0.925523947,-0.72379041,-0.523247259,-1.047594485,-0.457788814
9100WSTHOTN,-1.628267888,0.486070444,-0.393372113,-0.511856519,-1.460879501,-1.084969388,-0.243090301
9400ZZMAABM,0.038487686,1.141892594,-0.125433503,0.351648926,0.779878631,0.692005939,-0.337477141
9400ZZMAALT,-0.862084911,0.583626484,-0.073217977,-0.117225468,-0.327677345,-0.783087363,0.441060001
9400ZZMAAMO,-0.099987175,-1.473690973,0.502074105,-0.357201348,-0.783173102,-0.518048126,1.574353906
9400ZZMAANC,1.177090902,1.14113077,0.964187618,1.09413643,0.68732452,-0.303545705,-0.648919783
9400ZZMAAUD,0.734612751,-0.282677216,0.432156396,0.29469731,-0.63757429,-0.339379731,0.480357261
9400ZZMAAUL,0.595544398,0.015280898,1.333408128,0.648077808,-0.871991037,-0.086839772,-0.205725539
9400ZZMAAWT,0.127497508,-0.726728025,0.523547823,-0.025227565,-0.90184316,-0.657391407,0.922878862
9400ZZMABAG,0.671640475,-0.798135266,0.178655144,0.017386784,-0.666453287,0.701916233,0.27595811
9400ZZMABAR,0.364421529,0.803488341,1.315911325,0.827940398,0.663945374,1.18891484,0.724010141
9400ZZMABKS,-0.500951026,0.729025842,0.518113191,0.248729336,0.351036757,0.078015047,0.35313725
9400ZZMABLL,0.761960811,1.288115216,0.371198773,0.8070916,-1.176151077,0.289882009,-0.732434427
9400ZZMABNR,1.104945523,2.391832415,-0.246572839,1.0834017,0.593224033,0.04533567,-0.901407435
9400ZZMABOB,0.21519831,0.644488909,-0.384799422,0.158295932,-0.218443148,-0.102462796,-0.10430038
9400ZZMABOW,-0.191091661,0.298017525,-1.343852555,-0.412308897,0.301383713,0.433988991,0.528795765
9400ZZMABUR,-0.494129699,-0.51481453,0.443123816,-0.188606804,-1.083576401,-1.980306404,0.635483373
9400ZZMABWY,1.655440662,-0.105055874,1.20430761,0.918230799,0.449117196,-0.727779515,0.529825452
9400ZZMACEM,1.081887609,0.282823997,-0.317804643,0.348968988,-0.191416249,0.01090765,0.611529183
9400ZZMACHO,0.689673133,2.216629595,1.176061313,1.360788014,1.135133437,1.324160122,-1.125617613
9400ZZMACLN,0.798189792,-0.040873068,0.552611129,0.436642618,0.301383713,0.289048836,-0.141934392
9400ZZMACRN,0.90865099,1.461515181,1.270155124,1.213440432,1.9449282,2.252579327,-0.964502343
9400ZZMACRU,0.291665042,0.706313303,-0.465039673,0.177646224,0.545585839,0.569549958,-0.438940998
9400ZZMACSS,0.856801405,1.156793378,0.752247703,0.921947495,-1.238509812,0.11389378,-1.736885681
9400ZZMACTP,0.78805619,-1.763145661,-0.509125875,-0.494738449,0.893435359,1.275225813,0.221289815
9400ZZMADER,-0.256604371,-0.698806579,-0.969148405,-0.641519785,-0.931819208,0.275643136,0.840117939
9400ZZMADID,0.7127748,0.999362756,0.284321771,0.665486442,0.497551326,-0.008444665,-0.083696616
9400ZZMADNE,0.426596895,-0.347948432,-0.625852217,-0.182401251,0.68732452,0.333884837,0.882060669
9400ZZMADRO,1.078371062,0.886009518,-0.415861291,0.516173096,-0.382976975,-0.148321457,-0.12763276
