NPTREF,node,place,design
9400ZZMAHEA,0.532343544,0.506829299,0.362113281
9400ZZMAHOL,0.521030276,0.422088344,0.507206012
9400ZZMAHTN,0.431616727,0.493543143,0.644841998
9400ZZMAIWM,0.478697216,0.434218991,0.72740908
9400ZZMAKNY,0.239700261,0.372898928,0.438920699
9400ZZMALDY,0.515322154,0.374472149,0.567832564
9400ZZMALWY,0.353592726,0.527910658,0.677643291
9400ZZMAMCU,0.474862334,0.435469736,0.639931359
9400ZZMAMFT,0.387247007,0.411008363,0.540957997
9400ZZMAMIL,0.424080943,0.510386025,0.295575257
9400ZZMAMKT,0.603941712,0.657222889,0.835575348
9400ZZMAMON,0.537739016,0.284697027,0.482079407
9400ZZMAMRD,0.403804259,0.479250926,0.535878707
9400ZZMANAV,0.615068059,0.541792827,0.440667774
9400ZZMANBD,0.324951759,0.483849901,0.499716704
9400ZZMANEW,0.460504066,0.382835376,0.375839024
9400ZZMANHY,0.269495192,0.397902133,0.167468039
9400ZZMANIS,0.453407106,0.553631841,0.65424164
9400ZZMANMR,0.376288377,0.513889672,0.326140273
9400ZZMAOKS,0.44982097,0.418707866,0.734463917
9400ZZMAOLD,0.430730507,0.516091358,0.666140856
9400ZZMAOMC,0.486779508,0.371101355,0.688194396
9400ZZMAOMP,0.597117204,0.403187744,0.599312303
9400ZZMAPAR,0.356886041,0.208104962,0.654849308
9400ZZMAPGD,0.559633216,0.759733746,0.851990142
9400ZZMAPIC,0.878193817,0.659067437,0.681504661
9400ZZMAPLL,0.423534558,0.431670808,0.535932312
9400ZZMAPOM,0.396092186,0.560714557,0.545002314
9400ZZMAPWC,0.523621144,0.57644399,0.401814816
9400ZZMAQRD,0.440825691,0.397069302,0.515208964
9400ZZMARAD,0.540341337,0.392443355,0.502218512
9400ZZMARIN,0.310950716,0.530707987,0.658133617
9400ZZMARND,0.421597321,0.40644531,0.535252856
9400ZZMARRS,0.487340875,0.526901352,0.581222066
9400ZZMARWD,0.385180928,0.473395801,0.693851239
9400ZZMASCH,0.373963242,0.446547365,0.412484334
9400ZZMASDW,0.339109527,0.413158402,0.372358282
9400ZZMASFD,0.518071206,0.626003593,0.645943347
9400ZZMASHA,0.500615435,0.45938234,0.302131264
9400ZZMASHU,0.589906415,0.701870292,0.84614519
9400ZZMASLE,0.538860452,0.655869663,0.707572564
9400ZZMASQY,0.352846262,0.599884202,0.696925007
9400ZZMASTP,0.630380091,0.649383553,0.854277865
9400ZZMASTW,0.53718246,0.593442556,0.621762256
9400ZZMASWP,0.443366812,0.15990683,0.410019323
9400ZZMATIM,0.404093892,0.58383567,0.367984765
9400ZZMATRA,0.418946163,0.415943568,0.667216398
9400ZZMATRC,0.221742447,0.265027058,0.636352008
9400ZZMAVIC,0.704639181,0.759384029,0.769788119
9400ZZMAVLG,0.35681795,0.208094954,0.654536963
9400ZZMAVPK,0.519764559,0.423491209,0.688883659
9400ZZMAWFD,0.5349685,0.584800776,0.483735777
9400ZZMAWFS,0.361440116,0.440729596,0.677391432
9400ZZMAWIT,0.44868901,0.375052013,0.307001192
9400ZZMAWPK,0.404645499,0.487390574,0.5145219
9400ZZMAWST,0.338366944,0.525360118,0.46942334
9400ZZMAWTD,0.506206407,0.649556625,0.530479106
9400ZZMAWWD,0.462693735,0.450933729,0.704513334
9400ZZMAWYT,0.400343004,0.509625681,0.640926919
